user_genome	classification	type
1111525849475912_bin.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	unclassified
1111525849478674_bin.29	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	unclassified
1111525849640249_bin.109	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	unclassified
T2108173863_metabat2_bins_bin.26	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter novellum_A	classified
T2108173866_concoct_bins_bin.49	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Euzebyales;f__Euzebyaceae;g__;s__	unclassified
T2108173866_concoct_bins_bin.87	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__	unclassified
T2108173866_metabat2_bins_bin.33	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius	classified
T2108173867_concoct_bins_bin.134	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__Abiotrophia defectiva	classified
T2108173867_concoct_bins_bin.52	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	unclassified
T2108173867_metabat2_bins_bin.50	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp013333945	classified
T2108173867_metabat2_bins_bin.51	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces timonensis	classified
T2108173867_metabat2_bins_bin.58	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium bouchesdurhonense	classified
T2108173871_concoct_bins_bin.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	unclassified
1111525849640249_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio_B;s__	unclassified
T2108173871_concoct_bins_bin.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria flava	classified
T2108173872_concoct_bins_bin.15	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Glutamicibacter;s__Glutamicibacter mishrai	classified
T2108173873_concoct_bins_bin.130	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JANWXX01;s__	unclassified
T2108173873_concoct_bins_bin.132	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Agrococcus;s__	unclassified
T2108173873_concoct_bins_bin.51	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__	unclassified
T2108173873_concoct_bins_bin.69	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	unclassified
T2108173873_concoct_bins_bin.74	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAAYBP01;g__JAGQSI01;s__	unclassified
T2108173873_metabat2_bins_bin.24	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JAAFHJ01;s__	unclassified
T2108173873_metabat2_bins_bin.43	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Neomicrococcus;s__Neomicrococcus lactis	classified
T2108173873_metabat2_bins_bin.51	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JAAFHJ01;s__	unclassified
1111525849640249_bin.110	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ideonella;s__	unclassified
T2108173873_metabat2_bins_bin.66	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	unclassified
T2108173873_metabat2_bins_bin.89	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__	unclassified
T2108173874_concoct_bins_bin.100	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__JAFAGO01;s__	unclassified
T2108173874_concoct_bins_bin.105	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus qingshengii	classified
T2108173874_concoct_bins_bin.143	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__;s__	unclassified
T2108173874_concoct_bins_bin.61	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter;s__	unclassified
T2108173874_maxbin2_bins_bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	unclassified
T2108173874_metabat2_bins_bin.107	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	unclassified
T2108173874_metabat2_bins_bin.121	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__;g__;s__	unclassified
T2108173874_metabat2_bins_bin.122	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__	unclassified
1111525849640249_bin.111	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JANWXX01;s__	unclassified
T2108173874_metabat2_bins_bin.128	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter;s__Pseudoclavibacter helvolus	classified
T2108173874_metabat2_bins_bin.28	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Ga0074139;s__	unclassified
T2108173874_metabat2_bins_bin.30	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__JAMPXM01;g__CAJYOV01;s__	unclassified
T2108173874_metabat2_bins_bin.53	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio_B;s__	unclassified
T2108173874_metabat2_bins_bin.94	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__;s__	unclassified
T2108173875_concoct_bins_bin.40	d__Bacteria;p__Eremiobacterota;c__Xenobia;o__Xenobiales;f__JADMJV01;g__JAEXNA01;s__	unclassified
T2108173877_metabat2_bins_bin.74	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium lipophilum	classified
T2108173880_concoct_bins_bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	unclassified
T2108173881_concoct_bins_bin.126	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__Erythrobacter sp009905735	classified
T2108173881_metabat2_bins_bin.19	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax sp002428265	classified
1111525849640249_bin.114	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__JAFKJW01;s__	unclassified
T2108173881_metabat2_bins_bin.36	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__	unclassified
T2108173881_metabat2_bins_bin.56	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus wulumuqiensis	classified
T2108173881_metabat2_bins_bin.74	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas bullata_A	classified
T2108173882_concoct_bins_bin.103	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp014851865	classified
T2108173882_concoct_bins_bin.16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA4416;s__	unclassified
T2108173882_concoct_bins_bin.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__	unclassified
T2108173882_maxbin2_bins_bin.74	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__DZBG01;s__	unclassified
T2108173882_metabat2_bins_bin.102	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__	unclassified
T2108173882_metabat2_bins_bin.112	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides sp009701885	classified
T2108173882_metabat2_bins_bin.24	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA4096;s__	unclassified
1111525849640249_bin.115	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	unclassified
T2108173882_metabat2_bins_bin.65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	unclassified
T2108173882_metabat2_bins_bin.79	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Aquabacterium;s__	unclassified
T2108173883_concoct_bins_bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAATGA01;s__	unclassified
T2108173883_concoct_bins_bin.102	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	classified
T2108173883_concoct_bins_bin.109	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter;s__	unclassified
T2108173883_concoct_bins_bin.110	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__UBA6156;s__	unclassified
T2108173883_concoct_bins_bin.113	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_B;s__	unclassified
T2108173883_metabat2_bins_bin.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	unclassified
T2108173883_metabat2_bins_bin.16	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Aquabacterium;s__	unclassified
T2108173883_metabat2_bins_bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__	unclassified
1111525849640249_bin.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Aquabacterium;s__	unclassified
T2108173883_metabat2_bins_bin.43	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__Pararheinheimera tangshanensis	classified
T2108173883_metabat2_bins_bin.53	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Pseudobdellovibrio;s__	unclassified
T2108173883_metabat2_bins_bin.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	classified
T2108173886_concoct_bins_bin.121	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__JAGIBJ01;s__	unclassified
T2108173886_concoct_bins_bin.148	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctopirus;s__Planctopirus sp013822855	classified
T2108173886_concoct_bins_bin.158	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__Flavipsychrobacter sp002483105	classified
T2108173886_concoct_bins_bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	unclassified
T2108173886_concoct_bins_bin.19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__G019454225;s__	unclassified
T2108173886_metabat2_bins_bin.110	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAMBQF01;f__CAMBQF01;g__CAMBQF01;s__	unclassified
T2108173886_metabat2_bins_bin.151	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__BA12;g__;s__	unclassified
1111525849640249_bin.125	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus;s__	unclassified
T2108173886_metabat2_bins_bin.24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA4416;s__	unclassified
T2108173886_metabat2_bins_bin.36	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	unclassified
T2108173886_metabat2_bins_bin.77	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	unclassified
T2108173887_concoct_bins_bin.100	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__UBA2316;s__	unclassified
