name	SH_mean	SZ_mean	XZ_mean	SH vs SZ	XZ vs SZ	q_SH_VS_SZ	q_XZ_VS_SZ
d_acteria;p__Deinococcota	0	3.11049237540761e-06	9.68687875871343e-06	0	2.55908260480451e-05	0	0.000562998173056993
d_acteria;p__Desulfobacterota	0	4.00731184904769e-09	1.11212319626017e-08	0	0.030512842974132	0	0.671282545430904
d_acteria;p__Eremiobacterota	0	1.48378157100138e-06	1.0974529138239e-06	0	0.0900469936262219	0	1
d_acteria;p__Firmicutes	0	4.70214978019269e-05	0.000160263842468735	0	3.88824837127752e-06	0	8.55414641681054e-05
d_acteria;p__Fusobacteriota	0	1.41920180473603e-06	9.09906267440887e-07	0	0.0136226947471995	0	0.29969928443839
d_acteria;p__Myxococcota	0	1.05057691314505e-06	7.44632437005252e-07	0	0.458503859554995	0	1
d_acteria;p__Patescibacteria	0	3.19917602505427e-06	2.1007773262369e-06	0	0.141789253897204	0	1
d_acteria;p__Planctomycetota	0	4.86675880910075e-07	1.25339827742445e-07	0	0.783321864410404	0	1
d_acteria;p__Proteobacteria	0	0.000246599517591726	0.000152352873058702	0	0.00104948305374855	0	0.0230886271824681
d_acteria;p__Spirochaetota	0	3.69002515675252e-06	1.30506084050077e-08	0	4.78735563862798e-32	0	1.05321824049816e-30
d_acteria;p__Synergistota	0	8.126398391214e-09	2.71521668740901e-08	0	0.79474442576959	0	1
d_acteria;p__Verrucomicrobiota	0	1.66585030653411e-07	2.24609585048901e-10	0	9.72200769826789e-05	0	0.00213884169361893
d_acteria;p_acteroidota	0	3.94524820144045e-05	2.13917383695243e-05	0	0.00190085215715388	0	0.0418187474573853
d_acteria;p_ampylobacterota	0	2.99144024487762e-08	4.89978105771347e-08	0	0.00914434793801141	0	0.201175654636251
d_acteria;p_cidobacteriota	0	4.03236792538705e-08	6.35760274624153e-08	0	0.0885307742244067	0	1
d_acteria;p_ctinobacteriota	0	0.00078828902063074	0.000841063802927558	0	0.306648947557455	0	1
d_acteria;p_dellovibrionota	0	3.22448569558217e-06	2.03410128085275e-06	0	0.886382496060355	0	1
d_acteria;p_hlamydiota	0	0	0	0	NA	0	NA
d_acteria;p_hloroflexota	0	1.22707496242729e-08	1.54476812581386e-07	0	0.842131616450308	0	1
d_acteria;p_quificota	0	0	3.23879397384728e-08	0	5.58956607438842e-05	0	0.00122970453636545
d_acteria;p_rmatimonadota	0	6.98376119014999e-07	6.61486503514409e-08	0	0.801717925418145	0	1
d_acteria;p_yanobacteriota	0	7.13928755081282e-07	1.89093572450263e-07	0	0.0274331057503259	0	0.603528326507169
d_rchaea;p__Halobacteriota	0	0	0	0	NA	0	NA
d_rchaea;p__Thermoproteota	0	1.19138874084703e-05	9.87892898765655e-06	0	0.572986356250915	0	1
