name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	2.68E-07	1.47E-07	9.70E-07	5.81E-07	1.83E-18	3.08E-15
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis	4.58E-07	1.30E-07	4.18E-07	5.81E-07	1.76E-14	2.95E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae	8.01E-08	1.97E-08	3.16E-07	1.87E-07	2.47E-16	4.16E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii	1.40E-08	3.45E-08	2.59E-07	8.71E-08	8.67E-09	1.46E-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis	1.95E-07	7.64E-08	3.59E-07	2.60E-07	8.30E-18	1.40E-14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii	3.96E-07	2.12E-07	8.40E-07	9.92E-07	3.31E-16	5.56E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris	1.58E-06	8.20E-07	4.41E-06	2.58E-06	6.52E-16	1.10E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A	4.44E-07	2.29E-07	1.12E-06	6.70E-07	8.02E-17	1.35E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C	2.46E-07	8.67E-08	2.68E-06	2.70E-07	2.72E-14	4.57E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835	2.58E-07	8.82E-08	4.04E-07	3.23E-07	2.27E-07	0.000382021
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845	7.86E-08	1.56E-07	1.59E-07	1.55E-07	5.96E-15	1.00E-11
