SGB	ann	HAN_mean	ZANG_mean	p	type	FC	group
1111525849475912_bin.33		1.75e-08	1.56e-08	0.297131809322263	A	-0.16580889297008	pass
1111525849478105_bin.17		1.67e-07	2.2e-07	0.76931366108716	A	0.397655421050608	pass
1111525849478105_bin.2		1.91e-07	1.86e-07	0.524070859275255	A	-0.0382700169277173	pass
1111525849478145_bin.1		4.27e-07	5.79e-07	0.648541929217171	A	0.439327278368746	pass
1111525849478145_bin.18_new		1.78e-07	3.99e-07	1.32523791357183	A	1.16451150525595	pass
1111525849478566_bin.12		1.49e-08	1.44e-08	0.174045620517995	A	-0.0492435190198491	pass
1111525849478649_bin.35		1.82e-08	2.44e-08	0.410445858098754	A	0.42294269736419	pass
1111525849478674_bin.19		1.79e-08	1.67e-08	0.00647177980147583	A	-0.100111484790204	pass
1111525849478674_bin.21		2.21e-08	1.65e-08	0.139869402089701	A	-0.421580345145616	pass
1111525849478674_bin.29		1.09e-08	1.05e-08	0.0544846839478839	A	-0.0539388071108037	pass
1111525849478674_bin.30		1.9e-08	1.81e-08	0.0437917099422941	A	-0.0700097212477425	pass
1111525849478674_bin.4		2.73e-08	2.18e-08	0.322963949359077	A	-0.324572816142926	pass
1111525849478674_bin.42		3.99e-08	2.86e-08	0.421903893302872	A	-0.480373599443956	pass
1111525849478674_bin.44		3e-08	3.41e-08	0.74734777837385	A	0.184809238528292	pass
1111525849478743_bin.16		1.33e-07	6.17e-08	0.732860037291841	A	-1.10808385123913	pass
1111525849478864_bin.13		1.57e-08	2.07e-08	0.0580987484067836	A	0.398866208607698	pass
1111525849479042_bin.22		2.81e-08	2.23e-08	0.676152919754621	A	-0.333526420300621	pass
1111525849479196_bin.10		3.08e-07	4.11e-07	0.776698224021027	A	0.416208042986782	pass
1111525849479196_bin.41		9.57e-08	3.11e-07	1.28751829172602	A	1.70032375053194	pass
1111525849479399_bin.4		1.35e-08	1.39e-08	0.144048533159337	A	0.0421254756726766	pass
1111525849479998_bin.23		1.11e-07	8.27e-08	0.247580687034662	A	-0.424600442066194	pass
1111525849479998_bin.38		1.49e-07	1.12e-07	0.187302938445622	A	-0.411813598404557	pass
1111525849479998_bin.4		1.08e-07	8.97e-08	0.131590155140268	A	-0.26785142213157	pass
1111525849479998_bin.50		1.02e-06	2.15e-08	0.614719970107509	A	-5.56808868215676	pass
1111525849479998_bin.51		9.79e-08	9.24e-08	0.131590155140268	A	-0.0834160081876375	pass
1111525849480093_bin.2		6.44e-07	1.02e-06	0.286997134187372	A	0.663436558744241	pass
