SGB	ann	leave_mean	unleave_mean	p	type	FC	group
T2108173990_maxbin2_bins_bin.37	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus parvatiensis	1.01e-06	1.2e-07	5.47755576649368	C	3.07324898203064	leave
SMGC_114	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propioniferax;s__Propioniferax innocua	1.5e-07	5.61e-08	5.0515870342214	D	1.41888982477445	leave
MET0267_bin.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	4.05e-06	6.12e-07	4.61618463401957	D	2.7263183499667	leave
T2108174048_concoct_bins_bin.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinicoccus;s__Urinicoccus timonensis	4.59e-07	8.52e-08	4.56224943717961	C	2.42956881807533	leave
MET0119_bin.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	4.36e-08	1.57e-08	4.53461714855158	D	1.4735635758853	leave
MET0251_bin.56	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuscaniense	2.89e-08	1.16e-08	4.26360349772336	D	1.31694468737311	leave
SMGC_205	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii	4.83e-07	4.33e-08	4.18575240426808	D	3.47958425899641	leave
SMGC_563	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001831515	9.13e-08	2.86e-08	4.18575240426808	D	1.67459971320583	leave
MET0286_bin.12	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	4.55e-05	1.16e-07	4.17005330405836	D	8.61559792973321	leave
SMGC_139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575	1.34e-07	2.67e-08	4.10790539730952	D	2.32732135365758	leave
1111525849483863_bin.19	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	1.82e-06	4.94e-07	4.10790539730952	D	1.88135550350138	leave
T2108174080_metabat2_bins_bin.29	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	1.19e-06	6.75e-08	4.06248210798265	D	4.13993026114447	leave
T2108173980_metabat2_bins_bin.167	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900546675	1.63e-07	2.37e-08	4.03621217265444	C	2.78191300022018	leave
T2107171993_concoct_bins_bin.32	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	1.9e-07	2.88e-08	4.03198428600636	D	2.721858701776	leave
SMGC_102	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	3.2e-07	4.97e-08	4.01637371287547	D	2.68675414821244	leave
