user_genome	classification	classification_color	Genome_size	Completeness	Contamination	checkM	checkM_ann	Cultured	ncbi_genome_category
T2108174069_concoct_bins_bin.47	Acidobacteriota	#F5BDD5	2907646	94.87	3.418	1	HQ	1	unclassified
T2108173889_maxbin2_bins_bin.73	Acidobacteriota	#F5BDD5	2035898	53.52	7.318	1	MQ	1	unclassified
1111525849479998_bin.16_new	Acidobacteriota	#F5BDD5	2681836	50.53	2.85	1	MQ	1	unclassified
T2107171991_metabat2_bins_bin.28	Acidobacteriota	#F5BDD5	3629174	52.99	3.703	1	MQ	1	unclassified
T2108173991_concoct_bins_bin.142	Acidobacteriota	#F5BDD5	2414126	74.92	2.83	1	MQ	1	unclassified
1111525849854152_bin.13	Acidobacteriota	#F5BDD5	4408569	86.22	4.61	1	MQ	1	unclassified
1111525849858814_bin.16	Acidobacteriota	#F5BDD5	5021328	94.87	7.06	1	MQ	1	unclassified
T2108173866_concoct_bins_bin.49	Actinomycetota	#F19A97	1643404	75.45	3.418	1	MQ	1	unclassified
T2108173867_metabat2_bins_bin.50	Actinomycetota	#F19A97	3352398	97.46	0.523	1	HQ	1	classified
T2108173867_metabat2_bins_bin.51	Actinomycetota	#F19A97	2435799	81.9	4.299	1	MQ	1	classified
T2108173867_metabat2_bins_bin.58	Actinomycetota	#F19A97	2154663	87.92	8.657	1	MQ	1	classified
T2108173872_concoct_bins_bin.15	Actinomycetota	#F19A97	3137345	87.66	3.544	1	MQ	1	classified
T2108173873_concoct_bins_bin.132	Actinomycetota	#F19A97	2238350	79.93	2.373	1	MQ	1	unclassified
T2108173873_concoct_bins_bin.74	Actinomycetota	#F19A97	3494914	83.46	1.282	1	MQ	1	unclassified
T2108173873_metabat2_bins_bin.43	Actinomycetota	#F19A97	1999897	82.33	1.758	1	MQ	1	classified
T2108173874_concoct_bins_bin.105	Actinomycetota	#F19A97	8327456	94.42	3.198	1	HQ	1	classified
T2108173874_metabat2_bins_bin.128	Actinomycetota	#F19A97	2847458	90.64	0.877	1	HQ	1	classified
T2108173877_metabat2_bins_bin.74	Actinomycetota	#F19A97	2007544	78.56	9.681	1	MQ	1	classified
T2108173882_metabat2_bins_bin.112	Actinomycetota	#F19A97	3675213	83.96	5.497	1	MQ	1	classified
1111525849640249_bin.115	Actinomycetota	#F19A97	3487988	92.33	3.5	1	HQ	1	unclassified
T2108173883_concoct_bins_bin.102	Actinomycetota	#F19A97	2465216	98.7	0.324	1	HQ	1	classified
T2108173886_concoct_bins_bin.121	Actinomycetota	#F19A97	2764134	89.74	0	1	MQ	1	unclassified
T2108173886_metabat2_bins_bin.77	Actinomycetota	#F19A97	3005229	96.52	0.656	1	HQ	1	unclassified
T2108173887_metabat2_bins_bin.136	Actinomycetota	#F19A97	3934892	76.06	1.899	1	MQ	1	unclassified
T2108173889_metabat2_bins_bin.37	Actinomycetota	#F19A97	5543694	83.54	1.436	1	MQ	1	unclassified
T2108173892_concoct_bins_bin.28	Actinomycetota	#F19A97	2509534	91.98	1.433	1	HQ	1	unclassified
T2108173895_concoct_bins_bin.55	Actinomycetota	#F19A97	2854378	93.53	2.327	1	HQ	1	unclassified
T2108173900_concoct_bins_bin.107	Actinomycetota	#F19A97	2968327	98.7	1.351	1	HQ	1	classified
T2108173900_concoct_bins_bin.86	Actinomycetota	#F19A97	3743646	97.6	1.936	1	HQ	1	classified
T2108173902_concoct_bins_bin.13	Actinomycetota	#F19A97	2129668	99.01	1.026	1	HQ	1	classified
T2108173902_concoct_bins_bin.133	Actinomycetota	#F19A97	5547171	92.29	3.07	1	HQ	1	classified
T2108173907_metabat2_bins_bin.26	Actinomycetota	#F19A97	2462304	99.21	0	1	HQ	1	classified
T2108173911_concoct_bins_bin.21	Actinomycetota	#F19A97	2803596	95.8	2.652	1	HQ	1	unclassified
T2108173913_concoct_bins_bin.64	Actinomycetota	#F19A97	2519199	86.68	2.232	1	MQ	1	classified
T2108173913_metabat2_bins_bin.83	Actinomycetota	#F19A97	2184243	93.56	0.487	1	HQ	1	classified
T2108173914_concoct_bins_bin.106	Actinomycetota	#F19A97	2807601	92.43	2.78	1	HQ	1	classified
