SGB name	Representative bin	Cluster MAGs
SGB_207	1111525849736752_bin.14	1111525849736752_bin.14.fa
SGB_2727	T2108174063_metabat2_bins_bin.99	T2108174063_metabat2_bins_bin.99.fa
SGB_2726	T2107171982_maxbin2_bins_bin.6	"DP1807004305_bin.3_new.fa,T2108173932_metabat2_bins_bin.15.fa,T2108173868_metabat2_bins_bin.32.fa,T2107171952_metabat2_bins_bin.7.fa,T2107171982_maxbin2_bins_bin.6.fa,SMGC_22.fa"
SGB_3259	T2107171991_metabat2_bins_bin.28	T2107171991_metabat2_bins_bin.28.fa
SGB_382	1111525849858814_bin.16	"DSKIN0041-1_bin.21.fa,1111525849858814_bin.16.fa,T2108173887_metabat2_bins_bin.172.fa,T2108173886_concoct_bins_bin.153.fa,T2108173886_maxbin2_bins_bin.74.fa,T2108173886_metabat2_bins_bin.7.fa"
SGB_360	1111525849854152_bin.13	1111525849854152_bin.13.fa
SGB_3258	1111525849479998_bin.16_new	1111525849479998_bin.16_new.fa
SGB_1597	T2108174069_concoct_bins_bin.47	"T2108174069_metabat2_bins_bin.35.fa,T2108174069_concoct_bins_bin.47.fa,T2108174069_maxbin2_bins_bin.77.fa,T2108173862_concoct_bins_bin.17.fa"
SGB_2327	T2108173889_maxbin2_bins_bin.73	T2108173889_maxbin2_bins_bin.73.fa
SGB_3260	T2108173991_concoct_bins_bin.142	"T2108173991_concoct_bins_bin.142.fa,T2108173991_maxbin2_bins_bin.67.fa"
SGB_1016	T2108173873_concoct_bins_bin.74	"T2108173873_concoct_bins_bin.74.fa,T2108173873_metabat2_bins_bin.50.fa,T2108173874_concoct_bins_bin.67.fa"
SGB_1242	T2108173943_metabat2_bins_bin.67	"T2108173943_metabat2_bins_bin.67.fa,T2108173943_concoct_bins_bin.34.fa,T2108173943_maxbin2_bins_bin.31.fa,T2108173944_metabat2_bins_bin.65.fa,T2108173944_concoct_bins_bin.99.fa,T2108173944_maxbin2_bins_bin.27.fa,T2108173945_concoct_bins_bin.69.fa"
SGB_1089	T2108173887_metabat2_bins_bin.136	"T2108173887_metabat2_bins_bin.136.fa,T2108173886_metabat2_bins_bin.39.fa,T2108173886_maxbin2_bins_bin.70.fa"
SGB_2992	T2108174014_metabat2_bins_bin.38	T2108174014_metabat2_bins_bin.38.fa
SGB_2993	T2108174052_metabat2_bins_bin.2	T2108174052_metabat2_bins_bin.2.fa
SGB_2991	T2108173877_metabat2_bins_bin.60	T2108173877_metabat2_bins_bin.60.fa
SGB_1856	T2108174144_metabat2_bins_bin.2	"T2108174146_metabat2_bins_bin.38.fa,T2108174145_metabat2_bins_bin.29.fa,T2108174144_metabat2_bins_bin.2.fa,T2108174147_concoct_bins_bin.22.fa,T2108174007_metabat2_bins_bin.32.fa"
SGB_2968	T2107172016_metabat2_bins_bin.61	T2107172016_metabat2_bins_bin.61.fa
SGB_2763	T2108173973_concoct_bins_bin.24	T2108173973_concoct_bins_bin.24.fa
SGB_2762	T2108174110_concoct_bins_bin.65	T2108174110_concoct_bins_bin.65.fa
SGB_2761	T2108173926_concoct_bins_bin.129	T2108173926_concoct_bins_bin.129.fa
SGB_338	1111525849852267_bin.54	1111525849852267_bin.54.fa
SGB_2971	T2108174123_metabat2_bins_bin.53	"T2108174123_metabat2_bins_bin.53.fa,SMGC_492.fa"
SGB_1431	T2108174007_metabat2_bins_bin.44	T2108174007_metabat2_bins_bin.44.fa
SGB_572	SMGC_184	"SMGC_184.fa,T2108173981_metabat2_bins_bin.42.fa,T2108173980_metabat2_bins_bin.230.fa,T2108174006_metabat2_bins_bin.57.fa,T2108174071_metabat2_bins_bin.38.fa,T2108174069_metabat2_bins_bin.45.fa,T2108174143_metabat2_bins_bin.83.fa,T2108174069_maxbin2_bins_bin.31.fa,T2108174140_metabat2_bins_bin.11.fa"
SGB_2977	1111525849739687_bin.9	1111525849739687_bin.9.fa
SGB_2988	T2108173929_concoct_bins_bin.15	T2108173929_concoct_bins_bin.15.fa
SGB_2980	T2107171970_metabat2_bins_bin.35	"T2108173872_metabat2_bins_bin.18.fa,T2107171970_metabat2_bins_bin.35.fa"
SGB_2981	1111525849478105_bin.13	1111525849478105_bin.13.fa
SGB_2978	T2108173936_metabat2_bins_bin.52	T2108173936_metabat2_bins_bin.52.fa
SGB_2979	T2107171986_maxbin2_bins_bin.15	"T2107171984_metabat2_bins_bin.25.fa,T2107171986_maxbin2_bins_bin.15.fa"
SGB_2982	T2108173957_metabat2_bins_bin.36	T2108173957_metabat2_bins_bin.36.fa
SGB_2983	T2108173956_metabat2_bins_bin.28	T2108173956_metabat2_bins_bin.28.fa
SGB_2989	T2108174043_metabat2_bins_bin.109	T2108174043_metabat2_bins_bin.109.fa
SGB_2984	T2107171969_maxbin2_bins_bin.18	T2107171969_maxbin2_bins_bin.18.fa
SGB_2986	T2108174102_metabat2_bins_bin.5	T2108174102_metabat2_bins_bin.5.fa
SGB_2987	T2108173928_metabat2_bins_bin.17	T2108173928_metabat2_bins_bin.17.fa
SGB_2985	T2108173973_metabat2_bins_bin.19	T2108173973_metabat2_bins_bin.19.fa
SGB_2974	T2107172025_metabat2_bins_bin.2	T2107172025_metabat2_bins_bin.2.fa
SGB_1991	T2109199183_concoct_bins_bin.26	"1111525849479998_bin.11.fa,T2109199183_concoct_bins_bin.26.fa"
SGB_2975	T2108174087_concoct_bins_bin.18	T2108174087_concoct_bins_bin.18.fa
SGB_1647	T2108174086_metabat2_bins_bin.29	"T2108174086_metabat2_bins_bin.29.fa,T2108174086_maxbin2_bins_bin.33.fa"
SGB_2994	T2107172016_maxbin2_bins_bin.9	T2107172016_maxbin2_bins_bin.9.fa
SGB_750	SMGC_481	"T2108173977_metabat2_bins_bin.50.fa,SMGC_481.fa"
